id,text_snippet,labels
1,"We love the AI engine, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
2,"We love the data pipeline, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
3,"We love the data pipeline, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
4,"We love the AI engine, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
5,"We love the analytics, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
6,"We love the AI engine, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
7,"We love the analytics, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
8,"We love the data pipeline, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
9,"We love the analytics, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
10,"We love the analytics, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
11,"We love the data pipeline, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
12,"We love the analytics, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
13,"We love the data pipeline, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
14,"We love the data pipeline, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
15,"We love the analytics, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
16,"We love the analytics, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
17,"We love the data pipeline, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
18,"We love the AI engine, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
19,"We love the AI engine, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
20,"We love the analytics, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
21,"We love the analytics, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
22,"We love the AI engine, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
23,"We love the analytics, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
24,"We love the analytics, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
25,"We love the AI engine, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
26,"We love the analytics, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
27,"We love the AI engine, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
28,"We love the data pipeline, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
29,"We love the AI engine, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
30,"We love the AI engine, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
31,"We love the analytics, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
32,"We love the analytics, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
33,"We love the analytics, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
34,"We love the data pipeline, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
35,"We love the analytics, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
36,"We love the analytics, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
37,"We love the AI engine, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
38,"We love the AI engine, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
39,"We love the AI engine, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
40,"We love the analytics, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
41,"We love the data pipeline, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
42,"We love the AI engine, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
43,"We love the data pipeline, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
44,"We love the data pipeline, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
45,"We love the data pipeline, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
46,"We love the analytics, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
47,"We love the analytics, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
48,"We love the analytics, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
49,"We love the AI engine, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
50,"We love the data pipeline, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
51,"We love the AI engine, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
52,"We love the AI engine, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
53,"We love the data pipeline, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
54,"We love the data pipeline, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
55,"We love the data pipeline, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
56,"We love the analytics, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
57,"We love the analytics, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
58,"We love the data pipeline, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
59,"We love the data pipeline, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
60,"We love the data pipeline, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
61,"We love the data pipeline, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
62,"We love the analytics, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
63,"We love the analytics, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
64,"We love the analytics, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
65,"We love the AI engine, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
66,"We love the data pipeline, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
67,"We love the data pipeline, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
68,"We love the data pipeline, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
69,"We love the AI engine, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
70,"We love the analytics, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
71,"We love the analytics, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
72,"We love the data pipeline, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
73,"We love the data pipeline, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
74,"We love the data pipeline, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
75,"We love the data pipeline, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
76,"We love the AI engine, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
77,"We love the analytics, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
78,"We love the data pipeline, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
79,"We love the analytics, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
80,"We love the AI engine, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
81,"We love the AI engine, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
82,"We love the analytics, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
83,"We love the data pipeline, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
84,"We love the analytics, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
85,"We love the analytics, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
86,"We love the AI engine, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
87,"We love the analytics, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
88,"We love the analytics, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
89,"We love the data pipeline, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
90,"We love the analytics, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
91,"We love the data pipeline, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
92,"We love the AI engine, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
93,"We love the analytics, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
94,"We love the AI engine, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
95,"We love the analytics, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
96,"We love the AI engine, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
97,"We love the data pipeline, but CompetitorZ has a cheaper subscription.","Positive, Pricing Discussion, Objection"
98,"We love the data pipeline, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
99,"We love the analytics, but CompetitorX has a cheaper subscription.","Positive, Pricing Discussion, Objection"
100,"We love the AI engine, but CompetitorY has a cheaper subscription.","Positive, Pricing Discussion, Objection"
